employee_first_name,employee_last_name,employee_address,contributor_first_name,contributor_last_name,contributor_address,label
Anna,Williams,"4032 Apple Dr, New York, GA 12737",Anna,Williams,"6616 Cedar Ct, Houston, NY 57482",0
Jane,Anderson,"4156 Apple Dr, Los Angeles, CA 29381",Jane E.,Anderson,"5559 Elm Street, Chicago, MI 91057",0
Michael,Miller,"8852 Oak Ave, Houston, GA 21801",Michael,Miller,"8852 Oak Ave, Phoenix, GA 21801",0
Rob,Martinez,"6434 Valley Rd, Houston, NC 23613",Rob,Martinez,"6434 Valley Rd, Houston, NC 23613 Apt 1",1
Chris,Anderson,"7089 Valley Rd, San Antonio, GA 48858",Chris,Anderson,"7842 Oak Ave, San Jose, MI 19692",0
Rob,Allen,"7241 Cedar Ct, Houston, GA 28066",Rob,Allen,"3258 Valley Rd, Chicago, AZ 61366",0
Mary,Kim,"1735 Oak Ave, Phoenix, PA 88255",Mary,Kim,"5893 Pine Ln, San Jose, NC 61996",0
Mary,Taylor,"8427 Cedar Ct, New York, GA 15378",Mary,Taylor,"8427 Cedar Ct, New York, GA 15378",1
Diana,Miller,"9657 Sunset Blvd, Los Angeles, FL 78142",Diana,Miller,"9657 Sunset Blvd, Los Angeles, FL 78142",1
Dave,Williams,"8206 Valley Rd, San Antonio, IL 21444",Dave,Williams,"8206 Valley Rd, San Antonio, IL 21444 Apt 24",1
Chris,Johnson,,Chris,Johnson,,1
Marcus,Miller,"6446 Oak Ave, Houston, NC 46128",Marcus A.,Miller,"4955 Apple Dr, Houston, CA 29076",0
Jane,Kim,"3245 Redwood St, San Jose, IL 71912",Jane,Kim,"3245 Redwood St, San Jose, IL 71912 Apt 26",1
Mary,Taylor,"3694 Pine Ln, New York, IL 31420",Mary,Taylor,,0
Chris,Allen,"1037 Valley Rd, Phoenix, GA 36890",Chris,Allen,"1037 Valley Rd, Phoenix, GA 36890 Apt 12",1
Mary,Davis,,Mary,Davis,,0
Diana,Smith,"9475 Oak Ave, Los Angeles, NY 76144",Diana,Smith,"2396 Apple Dr, Chicago, MI 25928",0
John,Lee,"1278 Sunset Blvd, Philadelphia, AZ 86434",John,Lee,"1278 Sunset Blvd, Dallas, AZ 86434",0
Diana,Smith,"4926 Cedar Ct, Los Angeles, MI 98753",Diana,Smith,"4926 Cedar Ct, San Diego, MI 98753",0
Anna,Martinez,"8513 Birch Dr, New York, NC 18332",Anna F.,Martinez,"2307 Valley Rd, San Antonio, MI 82919",0
John,Wright,"2765 Birch Dr, Dallas, NY 78179",John,Wright,,0
Diana,Taylor,"5326 Apple Dr, Phoenix, TX 84466",Diana,Taylor,"5326 Apple Dr, Phoenix, TX 84466",1
Karen,Taylor,"3226 Redwood St, San Diego, FL 21067",Karen,Taylor,"5721 Maple Rd, Chicago, GA 84892",0
Adam,Anderson,"6372 Elm Street, Philadelphia, IL 17684",Adam,Anderson,"6372 Elm Street, Philadelphia, IL 17684",1
Lisa,Johnson,"810 Elm Street, Chicago, FL 66612",Lisa,Johnson,"810 Elm Street, Chicago, FL 66612 Apt 18",1
Anna,Taylor,,Anna,Taylor,,0
Lisa,Miller,"3467 Apple Dr, Dallas, NC 24230",Lisa,Miller,"3467 Apple Dr, Dallas, NC 24230",1
Michael,Miller,"7055 Pine Ln, Houston, NY 32203",Michael,Miller,,0
Jane,Johnson,"6000 Sunset Blvd, San Jose, CA 46993",Jane E.,Johnson,"3338 Pine Ln, San Antonio, NC 69465",0
Anna,Kim,,Anna,Kim,"9010 Cedar Ct, Dallas, NY 49809",0
Anna,Lee,"7567 Redwood St, Dallas, PA 59437",Anna A.,Lee,"4042 Sunset Blvd, San Antonio, CA 21756",0
Mary,Davis,"2091 Maple Rd, San Antonio, GA 68133",Mary K.,Davis,"104 Pine Ln, Houston, PA 15708",0
Jane,Miller,"1690 Pine Ln, San Diego, GA 14220",Jane A.,Miller,"5459 Pine Ln, Phoenix, CA 65723",0
Rob,Smith,"4968 Sunset Blvd, Philadelphia, CA 18036",Rob,Smith,,0
Dave,Williams,"2472 Apple Dr, Philadelphia, MI 11455",Dave,Williams,"2472 Apple Dr, Philadelphia, MI 11455 Apt 27",1
Sarah,Clark,"9369 Oak Ave, Los Angeles, FL 25523",Sarah,Clark,,0
John,Johnson,"1426 Apple Dr, Philadelphia, GA 39253",John,Johnson,,0
Adam,Clark,"4873 Birch Dr, Phoenix, AZ 35293",Adam,Clark,"4873 Birch Dr, Phoenix, AZ 35293",1
Chris,Smith,"1558 Oak Ave, San Diego, IL 95925",Chris,Smith,"1558 Oak Ave, San Diego, IL 95925",1
Adam,Johnson,"4035 Valley Rd, San Jose, PA 78688",Adam A.,Johnson,,0
Adam,Brown,"1091 Redwood St, Phoenix, TX 44065",Adam,Brown,"501 Pine Ln, Philadelphia, TX 23975",0
Lisa,Williams,"6692 Valley Rd, Phoenix, PA 43398",Lisa,Williams,"6692 Valley Rd, Phoenix, PA 43398",1
John,Anderson,"2856 Valley Rd, Chicago, TX 28972",John,Anderson,,0
Karen,Johnson,,Karen,Johnson,,0
Marcus,Miller,"6992 Birch Dr, Phoenix, FL 22902",Marcus,Miller,,0
Jane,Wright,"4001 Oak Ave, Los Angeles, AZ 35483",Jane,Wright,,0
Diana,Davis,"8530 Sunset Blvd, San Jose, MI 16204",Diana,Davis,,0
Sarah,Kim,"7546 Elm Street, Chicago, FL 58640",Sarah,Kim,"7546 Elm Street, Chicago, FL 58640 Apt 43",1
Karen,Taylor,"8667 Redwood St, Dallas, MI 37786",Karen,Taylor,"1959 Valley Rd, Dallas, AZ 32541",0
Lisa,Wright,"5007 Redwood St, Houston, TX 67129",Lisa,Wright,"5007 Redwood St, Houston, TX 67129",1
Sarah,Wright,"5773 Cedar Ct, San Diego, TX 14292",Sarah,Wright,"5773 Cedar Ct, San Diego, TX 14292",1
Rob,Martinez,"4091 Apple Dr, Phoenix, GA 86361",Rob A.,Martinez,"1126 Redwood St, New York, FL 92890",0
Mary,Smith,"147 Elm Street, San Jose, NY 88549",Mary,Smith,"147 Elm Street, San Jose, NY 88549",1
Marcus,Johnson,"5232 Pine Ln, San Diego, GA 73949",Marcus,Johnson,"5232 Pine Ln, San Diego, GA 73949",1
Lisa,Williams,"7036 Redwood St, New York, PA 81189",Lisa,Williams,,0
Mary,Anderson,"7258 Oak Ave, Chicago, TX 37750",Mary,Anderson,,0
Diana,Allen,"7823 Valley Rd, Phoenix, NC 66235",Diana,Allen,,0
Rob,Martinez,"5097 Birch Dr, New York, PA 86244",Rob H.,Martinez,"5201 Apple Dr, Los Angeles, NY 25150",0
Chris,Taylor,"2194 Sunset Blvd, Houston, MI 89087",Chris,Taylor,"2194 Sunset Blvd, Houston, MI 89087",1
Rob,Wilson,"6068 Birch Dr, San Antonio, NY 49843",Rob,Wilson,"6068 Birch Dr, San Antonio, NY 49843",1
Mary,Brown,"3434 Apple Dr, Philadelphia, TX 64567",Mary,Brown,"3434 Apple Dr, Philadelphia, TX 64567 Apt 32",1
John,Clark,"7060 Cedar Ct, San Antonio, AZ 32314",John,Clark,,0
Maria,Anderson,"2836 Elm Street, Chicago, PA 97721",Maria,Anderson,,0
Lisa,Martinez,"8078 Valley Rd, San Diego, NC 88588",Lisa,Martinez,"8078 Valley Rd, New York, NC 88588",0
Adam,Williams,"4553 Birch Dr, Philadelphia, TX 97349",Adam,Williams,"4553 Birch Dr, Houston, TX 97349",0
John,Clark,"3736 Elm Street, San Diego, GA 96545",John,Clark,"3736 Elm Street, San Diego, GA 96545",1
Karen,Wilson,"2019 Pine Ln, San Diego, NY 47640",Karen,Wilson,,0
Michael,Brown,"6607 Sunset Blvd, Houston, MI 24378",Michael,Brown,"6607 Sunset Blvd, Houston, MI 24378 Apt 14",1
Jane,Johnson,"8794 Redwood St, New York, MI 14075",Jane,Johnson,"8794 Redwood St, New York, MI 14075",1
Michael,Smith,"8883 Sunset Blvd, Dallas, PA 91340",Michael G.,Smith,,0
Karen,Lee,"200 Sunset Blvd, San Diego, PA 26638",Karen,Lee,"200 Sunset Blvd, San Diego, PA 26638 Apt 15",1
Karen,Kim,"7624 Birch Dr, Philadelphia, GA 65759",Karen,Kim,,0
Mary,Kim,"5267 Birch Dr, Philadelphia, AZ 11347",Mary,Kim,"5267 Birch Dr, Philadelphia, AZ 11347",1
Maria,Kim,"8142 Pine Ln, Los Angeles, IL 12720",Maria,Kim,"8142 Pine Ln, Los Angeles, IL 12720 Apt 39",1
Mary,Williams,"4449 Oak Ave, San Jose, CA 91759",Mary K.,Williams,"9013 Apple Dr, San Antonio, IL 97149",0
John,Wright,"5520 Redwood St, Los Angeles, IL 48796",John,Wright,"9094 Apple Dr, Dallas, NY 88180",0
Lisa,Taylor,"281 Valley Rd, Phoenix, TX 76825",Lisa,Taylor,"281 Valley Rd, Phoenix, TX 76825",1
Marcus,Anderson,"8968 Pine Ln, Los Angeles, CA 54009",Marcus G.,Anderson,"961 Valley Rd, Chicago, AZ 41385",0
Dave,Allen,,Dave,Allen,,0
John,Clark,"8233 Maple Rd, Los Angeles, TX 12550",John,Clark,"6117 Sunset Blvd, San Antonio, NY 22967",0
Lisa,Brown,"7457 Valley Rd, Phoenix, NC 93928",Lisa D.,Brown,"8285 Maple Rd, Philadelphia, PA 82739",0
Maria,Kim,,Maria,Kim,"6391 Birch Dr, Phoenix, NC 17590",0
Michael,Williams,"4973 Sunset Blvd, Chicago, TX 89517",Michael J.,Williams,"8131 Redwood St, San Antonio, NC 61557",0
Diana,Wright,"9981 Pine Ln, Houston, TX 81867",Diana,Wright,"9981 Pine Ln, Houston, TX 81867",1
Sarah,Williams,"1955 Sunset Blvd, Dallas, GA 43630",Sarah,Williams,"1955 Sunset Blvd, Dallas, GA 43630",1
Sarah,Wright,"9005 Elm Street, New York, IL 28122",Sarah,Wright,"7186 Cedar Ct, Dallas, TX 47497",0
Chris,Brown,,Chris,Brown,,0
Jane,Clark,"8147 Birch Dr, Chicago, MI 72597",Jane E.,Clark,"4878 Sunset Blvd, Phoenix, PA 37579",0
Karen,Taylor,"1711 Oak Ave, San Jose, TX 83981",Karen,Taylor,"1711 Oak Ave, San Jose, TX 83981 Apt 45",1
Sarah,Smith,"104 Oak Ave, Houston, PA 41462",Sarah,Smith,,0
Anna,Martinez,"7229 Redwood St, San Diego, CA 64650",Anna,Martinez,"7229 Redwood St, San Diego, CA 64650",1
Jane,Smith,"3967 Elm Street, San Jose, CA 31494",Jane,Smith,"3967 Elm Street, San Jose, CA 31494 Apt 49",1
John,Clark,"6578 Oak Ave, San Diego, PA 70965",John A.,Clark,"4705 Redwood St, Los Angeles, MI 71164",0
Adam,Wright,"8888 Elm Street, Houston, PA 35753",Adam,Wright,,0
Diana,Williams,"7988 Maple Rd, Houston, IL 12098",Diana,Williams,"7988 Maple Rd, Houston, IL 12098 Apt 23",1
Rob,Brown,"9191 Apple Dr, San Diego, IL 92818",Rob,Brown,"9191 Apple Dr, San Diego, IL 92818",1
Sarah,Lee,"8399 Pine Ln, Los Angeles, FL 16933",Sarah,Lee,"8399 Pine Ln, San Jose, FL 16933",0
Sarah,Wilson,"4168 Oak Ave, Los Angeles, AZ 78546",Sarah,Wilson,"4168 Oak Ave, Los Angeles, AZ 78546",1
Dave,Wright,"1904 Redwood St, Philadelphia, CA 62356",Dave,Wright,"5979 Sunset Blvd, San Jose, GA 10855",0
Jane,Clark,"9530 Cedar Ct, Los Angeles, GA 61625",Jane,Clark,"8170 Oak Ave, Houston, NC 28885",0
John,Clark,"1744 Valley Rd, San Antonio, NY 21104",John,Clark,,0
Dave,Anderson,,Dave,Anderson,,0
Jane,Kim,"490 Cedar Ct, San Jose, NY 66133",Jane,Kim,"490 Cedar Ct, San Jose, NY 66133",1
Dave,Wilson,,Dave,Wilson,,1
John,Davis,"8761 Valley Rd, New York, NC 43130",John,Davis,,0
Lisa,Brown,"3791 Pine Ln, New York, PA 98987",Lisa,Brown,"1631 Valley Rd, Los Angeles, NC 86144",0
Karen,Kim,"1813 Cedar Ct, Houston, NY 85985",Karen,Kim,"1818 Sunset Blvd, New York, NC 12251",0
Marcus,Smith,"2056 Maple Rd, Dallas, FL 15031",Marcus,Smith,"2056 Maple Rd, Dallas, FL 15031",1
John,Brown,"8824 Pine Ln, San Jose, FL 23791",John,Brown,"8824 Pine Ln, San Jose, FL 23791",1
Diana,Wright,"7662 Cedar Ct, San Diego, CA 23335",Diana,Wright,"7662 Cedar Ct, New York, CA 23335",0
Marcus,Kim,"8103 Oak Ave, Los Angeles, CA 57054",Marcus,Kim,"8103 Oak Ave, Los Angeles, CA 57054 Apt 48",1
Anna,Smith,"9842 Birch Dr, San Antonio, NY 99172",Anna,Smith,,0
Chris,Clark,"1730 Pine Ln, New York, FL 41686",Chris,Clark,"1730 Pine Ln, New York, FL 41686",1
Karen,Williams,"9942 Oak Ave, Los Angeles, IL 61325",Karen,Williams,"9942 Oak Ave, Los Angeles, IL 61325 Apt 50",1
Jane,Wilson,"6539 Valley Rd, Houston, NY 25352",Jane,Wilson,"6539 Valley Rd, Houston, NY 25352 Apt 24",1
Marcus,Smith,"1808 Elm Street, New York, GA 29589",Marcus,Smith,"3560 Elm Street, San Diego, NC 85815",0
Lisa,Allen,"6858 Cedar Ct, Chicago, PA 93317",Lisa,Allen,,0
Anna,Anderson,"6162 Valley Rd, San Antonio, AZ 96643",Anna F.,Anderson,"1172 Cedar Ct, Houston, PA 22743",0
Michael,Martinez,"6761 Maple Rd, San Antonio, FL 84111",Michael A.,Martinez,"9976 Redwood St, Phoenix, IL 50581",0
Lisa,Kim,"3754 Redwood St, Philadelphia, FL 29051",Lisa,Kim,,0
Lisa,Lee,"3111 Birch Dr, Chicago, NC 52180",Lisa,Lee,"3111 Birch Dr, Chicago, NC 52180 Apt 44",1
Dave,Anderson,"5390 Pine Ln, San Diego, AZ 62316",Dave,Anderson,,0
Jane,Martinez,"7677 Oak Ave, San Diego, TX 53282",Jane D.,Martinez,"7949 Apple Dr, Phoenix, NY 76444",0
Maria,Lee,,Maria,Lee,"3223 Cedar Ct, San Jose, FL 16558",0
Anna,Davis,"7966 Oak Ave, Dallas, PA 49040",Anna,Davis,"7570 Apple Dr, Chicago, NC 95870",0
Dave,Johnson,"3231 Birch Dr, San Antonio, CA 96620",Dave,Johnson,"3231 Birch Dr, Houston, CA 96620",0
Mary,Wright,"3524 Elm Street, Philadelphia, NY 28862",Mary,Wright,"3524 Elm Street, New York, NY 28862",0
Adam,Martinez,"9107 Oak Ave, Houston, CA 16091",Adam,Martinez,,0
Diana,Anderson,"6146 Redwood St, Houston, AZ 94898",Diana F.,Anderson,"2465 Sunset Blvd, San Antonio, NC 13368",0
Karen,Anderson,"6646 Pine Ln, Los Angeles, NY 34548",Karen B.,Anderson,"7106 Elm Street, Dallas, NC 89290",0
Anna,Wilson,"938 Redwood St, Dallas, NY 69260",Anna,Wilson,"938 Redwood St, Dallas, NY 69260 Apt 31",1
Chris,Davis,"6027 Maple Rd, New York, CA 66823",Chris,Davis,"5040 Elm Street, Philadelphia, PA 56398",0
Marcus,Lee,"7926 Birch Dr, Chicago, AZ 84913",Marcus,Lee,,0
Jane,Williams,"3971 Cedar Ct, Philadelphia, TX 72508",Jane,Williams,,0
Mary,Taylor,"7962 Apple Dr, New York, CA 87165",Mary,Taylor,"7962 Apple Dr, New York, CA 87165",1
Marcus,Kim,"910 Redwood St, Houston, PA 55135",Marcus G.,Kim,"3006 Sunset Blvd, Dallas, TX 98619",0
Sarah,Williams,"2814 Cedar Ct, Los Angeles, CA 10362",Sarah,Williams,,0
Dave,Wright,,Dave,Wright,,0
Marcus,Taylor,"3051 Redwood St, Philadelphia, PA 36134",Marcus J.,Taylor,"7740 Redwood St, Philadelphia, NC 16273",0
Rob,Williams,"2377 Birch Dr, San Diego, TX 32342",Rob,Williams,"2377 Birch Dr, San Antonio, TX 32342",0
Adam,Kim,"5057 Cedar Ct, Dallas, FL 88931",Adam,Kim,"6261 Valley Rd, Los Angeles, MI 10423",0
Jane,Anderson,"1420 Birch Dr, Houston, AZ 78730",Jane C.,Anderson,"5042 Apple Dr, Dallas, IL 89488",0
Michael,Miller,"5179 Birch Dr, San Diego, GA 91589",Michael,Miller,,0
Diana,Taylor,"7543 Cedar Ct, San Antonio, TX 42097",Diana,Taylor,"7543 Cedar Ct, San Antonio, TX 42097",1
Maria,Wilson,"6333 Pine Ln, San Jose, NC 30152",Maria,Wilson,"1567 Cedar Ct, New York, NC 16791",0
Diana,Miller,"4504 Valley Rd, Houston, AZ 31807",Diana,Miller,"4504 Valley Rd, Houston, AZ 31807",1
John,Clark,"930 Maple Rd, Chicago, AZ 48494",John,Clark,"9104 Valley Rd, San Antonio, AZ 86972",0
Maria,Clark,"2392 Birch Dr, Dallas, CA 32182",Maria,Clark,,0
Marcus,Smith,"9452 Maple Rd, San Jose, MI 99988",Marcus J.,Smith,"2440 Maple Rd, San Jose, MI 65369",0
Lisa,Allen,,Lisa H.,Allen,"6373 Elm Street, Los Angeles, IL 65892",0
Mary,Williams,"267 Maple Rd, New York, TX 50582",Mary,Williams,"5426 Pine Ln, San Diego, AZ 41648",0
Lisa,Clark,"3985 Oak Ave, San Jose, NY 37378",Lisa A.,Clark,"9327 Apple Dr, Dallas, PA 70167",0
John,Anderson,,John,Anderson,,1
Lisa,Smith,"7281 Elm Street, Phoenix, NY 98907",Lisa,Smith,"3754 Sunset Blvd, Los Angeles, NC 31869",0
Jane,Allen,"9084 Valley Rd, Chicago, NY 82767",Jane,Allen,"9084 Valley Rd, Chicago, NY 82767",1
Dave,Martinez,"1558 Maple Rd, Chicago, PA 62707",Dave,Martinez,,0
Marcus,Williams,"3301 Valley Rd, Houston, PA 61469",Marcus,Williams,,0
Lisa,Clark,"2096 Valley Rd, San Diego, FL 70592",Lisa,Clark,,0
John,Taylor,"2445 Redwood St, Philadelphia, PA 84149",John,Taylor,"2445 Redwood St, San Jose, PA 84149",0
Mary,Miller,"3246 Elm Street, Los Angeles, GA 59880",Mary,Miller,,0
Jane,Wilson,"2270 Cedar Ct, Dallas, GA 88824",Jane,Wilson,"2270 Cedar Ct, Dallas, GA 88824 Apt 28",1
Diana,Lee,"4120 Pine Ln, San Diego, FL 62910",Diana,Lee,"7915 Oak Ave, Dallas, IL 76982",0
Chris,Miller,"2978 Elm Street, San Jose, NY 25821",Chris,Miller,"2978 Elm Street, San Jose, NY 25821",1
Lisa,Lee,"5463 Redwood St, Philadelphia, FL 97084",Lisa,Lee,"3811 Redwood St, Dallas, GA 22137",0
Mary,Martinez,"5705 Valley Rd, Los Angeles, AZ 31570",Mary,Martinez,"5705 Valley Rd, Los Angeles, AZ 31570 Apt 40",1
Adam,Wilson,"9113 Cedar Ct, Phoenix, GA 71801",Adam,Wilson,"9113 Cedar Ct, Phoenix, GA 71801",1
Dave,Taylor,"4365 Elm Street, Chicago, GA 70857",Dave D.,Taylor,"3258 Valley Rd, Philadelphia, AZ 20162",0
Michael,Williams,"4232 Redwood St, San Jose, MI 53610",Michael G.,Williams,"5560 Redwood St, Dallas, IL 50220",0
Sarah,Davis,,Sarah,Davis,,1
Marcus,Lee,"9276 Oak Ave, San Jose, MI 18495",Marcus D.,Lee,"1801 Sunset Blvd, Los Angeles, PA 20028",0
Adam,Miller,"8963 Birch Dr, Philadelphia, NC 56272",Adam,Miller,"8963 Birch Dr, Philadelphia, NC 56272 Apt 42",1
Michael,Wright,,Michael,Wright,,0
Jane,Davis,"2020 Apple Dr, Houston, PA 24279",Jane,Davis,"2020 Apple Dr, Houston, PA 24279",1
Chris,Allen,"7056 Elm Street, San Diego, GA 63238",Chris,Allen,"2927 Sunset Blvd, San Antonio, MI 26554",0
Chris,Brown,,Chris,Brown,,1
Chris,Wright,"6612 Cedar Ct, San Jose, IL 97250",Chris,Wright,"6612 Cedar Ct, San Antonio, IL 97250",0
Anna,Clark,"7440 Oak Ave, Dallas, NC 18197",Anna,Clark,"7440 Oak Ave, Dallas, NC 18197",1
Michael,Anderson,"4360 Birch Dr, San Antonio, MI 11430",Michael,Anderson,"4360 Birch Dr, San Antonio, MI 11430",1
Maria,Davis,"1667 Apple Dr, New York, PA 79902",Maria,Davis,,0
Maria,Taylor,"8911 Elm Street, New York, PA 59495",Maria D.,Taylor,"7514 Cedar Ct, Phoenix, TX 77769",0
Rob,Davis,"9678 Redwood St, San Diego, TX 26919",Rob,Davis,"2049 Maple Rd, Los Angeles, GA 73910",0
Karen,Johnson,"4549 Pine Ln, San Diego, FL 32338",Karen,Johnson,"4549 Pine Ln, San Diego, FL 32338",1
Anna,Wilson,"6255 Pine Ln, Houston, FL 35261",Anna,Wilson,"6255 Pine Ln, Houston, FL 35261 Apt 35",1
Marcus,Allen,"8437 Redwood St, Dallas, NY 36852",Marcus,Allen,"2028 Sunset Blvd, Phoenix, AZ 46156",0
John,Brown,"8016 Valley Rd, Houston, FL 69398",John,Brown,"3204 Valley Rd, Los Angeles, TX 72620",0
Diana,Smith,"2090 Birch Dr, Houston, GA 96930",Diana K.,Smith,,0
Karen,Johnson,"7248 Valley Rd, Chicago, IL 95070",Karen,Johnson,"7248 Valley Rd, New York, IL 95070",0
Mary,Miller,"498 Redwood St, Chicago, IL 59662",Mary,Miller,"498 Redwood St, Chicago, IL 59662",1
Chris,Williams,"3912 Apple Dr, Phoenix, MI 97540",Chris,Williams,,0
Sarah,Smith,"4517 Sunset Blvd, Phoenix, MI 58394",Sarah,Smith,,0
